"case","regime","k","preparation","classical","stress"
"paraboloid-disk-rep3-n240-r1","ambient",32,1.261,0.0130000000000052,0.686000000000007
"paraboloid-disk-rep3-n240-r1","ambient",4,0.530000000000001,0.0120000000000005,0.963000000000022
"paraboloid-disk-rep3-n240-r1","ambient",64,2.22999999999999,0.0130000000000052,0.703000000000003
"paraboloid-disk-rep3-n240-r1","ambient",8,0.59699999999998,0.0130000000000052,0.847999999999985
"paraboloid-disk-rep3-n240-r1","geodesic",128,3.873,0.0129999999999981,0.741999999999997
"paraboloid-disk-rep3-n240-r1","geodesic",16,0.846,0.0120000000000005,0.698
"paraboloid-disk-rep3-n240-r1","geodesic",239,6.047,0.0130000000000052,0.688000000000002
"paraboloid-disk-rep3-n240-r1","geodesic",32,1.311,0.0130000000000017,0.687999999999999
"paraboloid-disk-rep3-n240-r1","geodesic",4,0.63,0.0140000000000002,1.999
"paraboloid-disk-rep3-n240-r1","geodesic",64,2.193,0.0139999999999993,0.731000000000002
"paraboloid-disk-rep3-n240-r1","geodesic",8,0.606,0.0129999999999999,0.756
"paraboloid-disk-rep3-n240-r16","ambient",128,4.05800000000002,0.0150000000000148,1.255
"paraboloid-disk-rep3-n240-r16","ambient",16,0.907000000000011,0.0160000000000196,1.541
"paraboloid-disk-rep3-n240-r16","ambient",239,6.55900000000003,0.0099999999999909,1.17899999999997
"paraboloid-disk-rep3-n240-r16","ambient",32,1.333,0.0159999999999911,1.00800000000001
"paraboloid-disk-rep3-n240-r16","ambient",4,0.600000000000023,0.0159999999999911,2.12
"paraboloid-disk-rep3-n240-r16","ambient",64,2.38,0.0159999999999911,1.006
"paraboloid-disk-rep3-n240-r16","ambient",8,0.664999999999992,0.0159999999999911,2.131
"paraboloid-disk-rep3-n240-r16","geodesic",128,4.4,0.0160000000000053,0.881
"paraboloid-disk-rep3-n240-r16","geodesic",16,0.869999999999999,0.0139999999999993,1.031
"paraboloid-disk-rep3-n240-r16","geodesic",239,6.637,0.0240000000000009,0.870999999999995
"paraboloid-disk-rep3-n240-r16","geodesic",32,1.219,0.0130000000000017,0.807000000000002
"paraboloid-disk-rep3-n240-r16","geodesic",4,0.633,0.0150000000000001,2.59
"paraboloid-disk-rep3-n240-r16","geodesic",64,2.348,0.0150000000000006,0.966000000000001
"paraboloid-disk-rep3-n240-r16","geodesic",8,0.617,0.0150000000000006,1.492
"paraboloid-disk-rep3-n240-r2","ambient",128,4.48099999999999,0.0149999999999864,0.507000000000005
"paraboloid-disk-rep3-n240-r2","ambient",16,0.818000000000012,0.0130000000000052,0.365000000000009
"paraboloid-disk-rep3-n240-r2","ambient",239,6.81,0.0120000000000005,0.433999999999997
"paraboloid-disk-rep3-n240-r2","ambient",32,1.273,0.0139999999999816,0.497000000000014
"paraboloid-disk-rep3-n240-r2","ambient",4,0.526999999999987,0.0139999999999816,1.94399999999999
"paraboloid-disk-rep3-n240-r2","ambient",64,2.358,0.01400000000001,0.340000000000003
"paraboloid-disk-rep3-n240-r2","ambient",8,0.625,0.01400000000001,0.412999999999982
"paraboloid-disk-rep3-n240-r2","geodesic",128,4.092,0.0130000000000052,0.356999999999999
"paraboloid-disk-rep3-n240-r2","geodesic",16,0.832000000000001,0.0129999999999999,0.334
"paraboloid-disk-rep3-n240-r2","geodesic",239,6.101,0.0130000000000052,0.346999999999994
"paraboloid-disk-rep3-n240-r2","geodesic",32,1.256,0.0129999999999981,0.462
"paraboloid-disk-rep3-n240-r2","geodesic",4,0.657,0.016,2.97
"paraboloid-disk-rep3-n240-r2","geodesic",64,2.171,0.0120000000000005,0.432000000000002
"paraboloid-disk-rep3-n240-r2","geodesic",8,0.61,0.0139999999999993,0.432
"paraboloid-disk-rep3-n240-r32","ambient",128,4.30799999999999,0.0160000000000196,1.95699999999999
"paraboloid-disk-rep3-n240-r32","ambient",16,0.925000000000011,0.0149999999999864,2.018
"paraboloid-disk-rep3-n240-r32","ambient",239,6.84500000000003,0.0120000000000005,2.096
"paraboloid-disk-rep3-n240-r32","ambient",32,1.28900000000002,0.0159999999999911,1.642
"paraboloid-disk-rep3-n240-r32","ambient",4,0.643999999999977,0.0160000000000196,3.458
"paraboloid-disk-rep3-n240-r32","ambient",64,2.17100000000002,0.0149999999999864,1.70400000000001
"paraboloid-disk-rep3-n240-r32","ambient",8,0.685000000000002,0.0160000000000196,3.084
