surface,sampling,regime,radius,method,min,median,max
paraboloid,surface_area,ambient,2,classical,0.999999999999999,1.2242444843308,1.31359508543467
paraboloid,surface_area,ambient,2,classical_fixed_primary,0.999981915724385,1.00000000000059,1.00082259201774
paraboloid,surface_area,ambient,2,classical_fixed_uniform,0.999973680794586,1.0000011124008,1.00060540025285
paraboloid,surface_area,ambient,2,classical_primary,0.999999999999999,1.23166641360915,1.49480656191101
paraboloid,surface_area,ambient,2,classical_uniform,0.999999999999999,1.23189071845911,1.4930476886912
paraboloid,surface_area,ambient,2,original,1.0,1.0,1.0
paraboloid,surface_area,ambient,2,stress,0.999999999999999,1.1223795682334,1.24011642447275
paraboloid,surface_area,ambient,2,stress_fixed_primary,0.999990339429051,1.00000008274725,1.00077451611111
paraboloid,surface_area,ambient,2,stress_fixed_uniform,0.999980476020423,1.00000089240382,1.00053883203082
paraboloid,surface_area,ambient,2,stress_primary,0.999999999999999,1.14083585083944,1.37086524770772
paraboloid,surface_area,ambient,2,stress_uniform,0.999999999999999,1.14105627002154,1.3699181167213
paraboloid,surface_area,ambient,4,classical,0.999999999999999,1.21814087905651,1.31294795885169
paraboloid,surface_area,ambient,4,classical_fixed_primary,0.999981906853174,1.0,1.00141606572324
paraboloid,surface_area,ambient,4,classical_fixed_uniform,0.999977244241418,1.00000000000005,1.00128304320249
paraboloid,surface_area,ambient,4,classical_primary,0.999999999999999,1.13195635433007,1.50416120490921
paraboloid,surface_area,ambient,4,classical_uniform,0.999999999999999,1.13193933109757,1.50423550701121
paraboloid,surface_area,ambient,4,original,1.0,1.0,1.0
paraboloid,surface_area,ambient,4,stress,0.999999999999999,1.13245484437784,1.2490151743267
paraboloid,surface_area,ambient,4,stress_fixed_primary,0.999985953487795,1.00000000000042,1.00142465885002
paraboloid,surface_area,ambient,4,stress_fixed_uniform,0.999981983619916,1.00000000000814,1.0013105335567
paraboloid,surface_area,ambient,4,stress_primary,0.999999999999999,1.08185825473939,1.39768769512246
paraboloid,surface_area,ambient,4,stress_uniform,0.999999999999999,1.08189728613798,1.39768535672398
paraboloid,surface_area,ambient,8,classical,0.999999999999999,1.19935201275541,1.28946159950551
paraboloid,surface_area,ambient,8,classical_fixed_primary,0.999999386275329,1.0000000000004,1.0019353595391
paraboloid,surface_area,ambient,8,classical_fixed_uniform,0.999071260992781,1.00000000000034,1.00163816774202
